token,Rank,Word in English,score,Standard Deviation of Ratings
kim,7542,kim,5.26,1.3524
to,8622,to,4.84,0.9971
and,7113,and,5.4,0.9897
s,8214,s,5.02,0.5147
festival,376,festival,7.62,1.1761
on,4026,on,6.1,1.1995
us,4778,us,5.94,1.634
war,9970,war,2.04,1.6777
in,5638,in,5.76,1.1704
we,4698,we,5.96,1.5513
re,8020,re,5.1,1.0351
still,7176,still,5.38,1.2271
no,9611,not,3.34,1.4086
to,8622,to,4.84,0.9971
what,7863,what,5.16,1.0947
the,7738,the,5.2,0.4518
is,7326,is,5.34,0.6581
year,3454,year,6.24,1.1877
is,7326,is,5.34,0.6581
and,7113,and,5.4,0.9897
it,6908,it,5.46,0.9082
s,8214,s,5.02,0.5147
also,5683,Also,5.74,1.1214
the,7738,the,5.2,0.4518
perfect,175,perfect,7.86,1.3852
review,5706,review,5.74,0.9858
jones,7350,jones,5.32,1.2027
the,7738,the,5.2,0.4518
for,7412,for,5.32,1.6092
in,5638,in,5.76,1.1704
the,7738,the,5.2,0.4518
dark,9044,dark,4.48,1.9192
times,5626,times,5.76,1.1704
a,7551,to,5.26,0.8762
lot,6268,lot,5.62,1.3686
of,8632,of,4.82,1.207
don,3568,gift,6.22,1.5158
t,8488,t,4.9,1.1473
have,3975,have,6.12,1.2558
a,7551,to,5.26,0.8762
of,8632,of,4.82,1.207
jack,6648,jack,5.52,1.2493
dee,8358,dee,4.96,0.9889
on,4026,on,6.1,1.1995
his,7367,his,5.32,0.9134
jack,6648,jack,5.52,1.2493
white,3997,white,6.1,1.2164
i,7992,i,5.12,0.5938
m,8730,m,4.76,1.0797
not,9400,not,3.88,1.5471
going,4407,going,6.02,1.3775
to,8622,to,4.84,0.9971
put,7442,put,5.3,1.4178
a,7551,to,5.26,0.8762
thing,5890,thing,5.7,1.0926
out,9270,out,4.12,1.409
there,6802,there,5.48,0.7351
for,7412,for,5.32,1.6092
some,5585,some,5.76,0.9806
on,4026,on,6.1,1.1995
the,7738,the,5.2,0.4518
internet,207,Internet,7.82,1.1726
to,8622,to,4.84,0.9971
all,3050,all,6.34,1.5066
over,9221,over,4.2,1.5649
karma,7798,karma,5.18,2.1255
to,8622,to,4.84,0.9971
back,8595,back,4.84,1.1843
after,7120,after,5.4,1.5253
the,7738,the,5.2,0.4518
from,6107,from,5.66,1.1886
man,3849,man,6.14,1.2779
to,8622,to,4.84,0.9971
girl,591,girl,7.4,1.3553
here,5417,here,5.8,1.4286
s,8214,s,5.02,0.5147
one,5456,one,5.8,1.3851
thing,5890,thing,5.7,1.0926
to,8622,to,4.84,0.9971
watch,3723,watch,6.18,1.0821
on,4026,on,6.1,1.1995
every,4287,every,6.04,1.1421
my,4590,my,5.98,1.2534
cultural,1219,cultural,7.0,1.2454
a,7551,to,5.26,0.8762
song,457,song,7.54,1.3433
me,4499,me,6.0,1.3851
how,6150,how,5.64,1.2249
to,8622,to,4.84,0.9971
live,1062,live,7.1,1.1995
as,7720,ace,5.2,0.9476
a,7551,to,5.26,0.8762
gay,7237,gay,5.36,1.977
man,3849,man,6.14,1.2779
in,5638,in,5.76,1.1704
from,6107,from,5.66,1.1886
the,7738,the,5.2,0.4518
to,8622,to,4.84,0.9971
harry,4089,harry,6.08,1.3529
your,4568,your,5.98,0.9145
to,8622,to,4.84,0.9971
the,7738,the,5.2,0.4518
week,3760,week,6.16,1.3756
on,4026,on,6.1,1.1995
a,7551,to,5.26,0.8762
who,7922,who,5.14,0.8332
to,8622,to,4.84,0.9971
go,3027,go,6.34,1.3032
to,8622,to,4.84,0.9971
on,4026,on,6.1,1.1995
for,7412,for,5.32,1.6092
war,9970,war,2.04,1.6777
in,5638,in,5.76,1.1704
a,7551,to,5.26,0.8762
war,9970,war,2.04,1.6777
that,7331,That,5.34,0.8478
got,6195,got,5.64,0.7494
a,7551,to,5.26,0.8762
for,7412,for,5.32,1.6092
christmas,131,christmas,7.96,1.3087
nothing,9243,nothing,4.16,1.4758
the,7738,the,5.2,0.4518
of,8632,of,4.82,1.207
and,7113,and,5.4,0.9897
on,4026,on,6.1,1.1995
he,7232,I,5.36,1.1021
s,8214,s,5.02,0.5147
so,7403,SW,5.32,0.9355
excited,702,excited,7.34,1.2554
to,8622,to,4.84,0.9971
people,1388,people,6.92,1.4405
he,7232,I,5.36,1.1021
can,4820,dog,5.92,1.2262
t,8488,t,4.9,1.1473
help,8839,help,4.68,1.7779
actor,2706,actor,6.44,1.1808
with,4746,with,5.94,1.0382
old,9047,old,4.48,1.4032
over,9221,over,4.2,1.5649
kevin,7344,kevin,5.34,1.5729
on,4026,on,6.1,1.1995
black,6401,black,5.58,1.8193
stewart,7124,stewart,5.4,1.3093
on,4026,on,6.1,1.1995
us,4778,us,5.94,1.634
in,5638,in,5.76,1.1704
a,7551,to,5.26,0.8762
