token,Rank,Word in English,score,Standard Deviation of Ratings
festival,376,festival,7.62,1.1761
news,3252,news,6.3,1.1995
tips,2080,tips,6.64,1.0645
and,7113,and,5.4,0.9897
more,3038,more,6.34,1.1886
on,4026,on,6.1,1.1995
day,2621,day,6.48,1.313
two,5836,two,5.72,0.9906
live,1062,live,7.1,1.1995
the,7738,the,5.2,0.4518
s,8214,s,5.02,0.5147
player,1592,player,6.82,1.5077
live,1062,live,7.1,1.1995
just,6580,just,5.54,1.2488
in,5638,in,5.76,1.1704
a,7551,to,5.26,0.8762
game,1083,game,7.08,1.4405
was,8600,was,4.84,1.1669
it,6908,it,5.46,0.9082
down,9477,down,3.7,1.3286
to,8622,to,4.84,0.9971
or,7628,or,5.24,1.0214
the,7738,the,5.2,0.4518
how,6150,how,5.64,1.2249
a,7551,to,5.26,0.8762
paulo,6759,paulo,5.5,1.233
made,6110,made,5.66,1.0616
a,7551,to,5.26,0.8762
for,7412,for,5.32,1.6092
s,8214,s,5.02,0.5147
global,1813,global,6.74,1.3969
stupid,9628,stupid,3.32,1.7431
money,1026,money,7.1,1.594
well,2318,well,6.56,1.5928
to,8622,to,4.84,0.9971
win,391,win,7.6,1.3248
years,3832,years,6.16,1.3456
and,7113,and,5.4,0.9897
games,701,games,7.34,1.2056
how,6150,how,5.64,1.2249
s,8214,s,5.02,0.5147
lol,1213,lol,7.0,1.6903
that,7331,That,5.34,0.8478
s,8214,s,5.02,0.5147
it,6908,it,5.46,0.9082
the,7738,the,5.2,0.4518
s,8214,s,5.02,0.5147
white,3997,white,6.1,1.2164
house,1402,house,6.92,1.5887
card,4692,card,5.96,1.2447
t,8488,t,4.9,1.1473
the,7738,the,5.2,0.4518
price,6769,price,5.5,1.5017
of,8632,of,4.82,1.207
times,5626,times,5.76,1.1704
and,7113,and,5.4,0.9897
make,4088,make,6.08,1.1925
to,8622,to,4.84,0.9971
world,1577,world,6.84,1.3456
tour,1081,tour,7.08,1.2095
s,8214,s,5.02,0.5147
has,6624,have,5.52,1.2656
