token,Happiness Score
cheltenham,
festival,7.62
news,6.3
previews,
tips,6.64
and,5.4
more,6.34
on,6.1
day,6.48
two,5.72
live,7.1
the,5.2
hundred,
women,
s,5.02
player,6.82
auction,
live,7.1
bam,
adebayo,
just,5.54
scored,
points,
in,5.76
a,5.26
game,7.08
was,4.84
it,5.46
down,3.7
to,4.84
brilliance,
or,5.24
stat,
padding,
the,5.2
spin,
how,5.64
a,5.26
small,
town,
near,
paulo,5.5
made,5.66
brazil,
a,5.26
standard,
bearer,
for,5.32
cricket,
s,5.02
global,6.74
growth,
stupid,3.32
money,7.1
well,6.56
spent,
lossiemouth,
saunters,
to,4.84
champion,
hurdle,
win,7.6
three,
years,6.16
and,5.4
games,7.34
unbeaten,
how,5.64
nyu,
became,
basketball,
s,5.02
unlikeliest,
dynasty,
lol,7.0
that,5.34
s,5.02
it,5.46
politics,
aside,
the,5.2
ufc,
s,5.02
white,6.1
house,6.92
card,5.96
isn,
t,4.9
worth,
the,5.2
price,5.5
of,4.82
admission,
karim,
zidan,
changing,
times,5.76
and,5.4
weakened,
rivals,
make,6.08
pga,
question,
generosity,
to,4.84
dp,
world,6.84
tour,7.08
ewan,
murray,
steve,
borthwick,
s,5.02
england,
selection,
has,5.52
the,5.2
whiff,
of,4.82
damage,
limitation,
robert,5.5
kitson,
from,5.66
the,5.2
pocket,5.68
docherty,
s,5.02
voice,6.14
memo,
highlights,
impossible,3.52
job,
facing,
modern,
afl,
coaches,
michael,5.8
johnson,
accused,
of,4.82
taking,
from,5.66
debt,
ridden,
track,
league,
cheltenham,
festival,7.62
lossiemouth,
leaves,
rivals,
in,5.76
wake,
to,4.84
win,7.6
champion,
hurdle,
as,5.2
it,5.46
happened,
former,
super,7.26
bowl,
champion,
asked,5.6
chatgpt,
about,5.38
injuries,
before,5.16
girlfriend,
s,5.02
death,1.82
court,
hears,
dominant,
lossiemouth,
a,5.26
winner,
as,5.2
cheltenham,
puts,
civil,5.66
war,2.04
on,6.1
hold,
holding,
out,4.12
for,5.32
a,5.26
hero,
how,5.64
cricket,
s,5.02
hundred,
auction,
works,
and,5.4
who,5.14
is,5.34
available,
neil,
simpson,7.3
wins,
first,6.92
great,7.36
britain,
medal,
at,4.9
winter,
paralympics,
with,5.94
skiing,
silver,
cheltenham,
festival,7.62
day,6.48
two,5.72
l,5.16
eau,
du,5.08
sud,
can,5.92
edge,
majborough,
in,5.76
champion,
chase,
ladies,
day,6.48
returns,
to,4.84
cheltenham,
festival,7.62
promising,
glamour,
and,5.4
glory,
england,
recall,
ollie,
chessum,
for,5.32
france,6.66
game,7.08
as,5.2
borthwick,
fights,
for,5.32
his,5.32
future,
alyssa,
healy,
s,5.02
final,5.22
match,
underlines,
recurring,
truth,
of,4.82
women,
s,5.02
test,5.5
cricket,
geoff,
lemon,
nfl,5.8
free,7.84
agency,
winners,
and,5.4
losers,
ravens,
shine,
and,5.4
what,5.16
were,5.1
the,5.2
jets,
thinking,6.98
again,5.72
the,5.2
breakdown,
itoje,
s,5.02
and,5.4
smith,
s,5.02
on,6.1
field,
spat,
sums,
up,6.08
england,
s,5.02
startling,
identity,
crisis,2.5
the,5.2
nba,6.16
knows,
how,5.64
to,4.84
punish,
spectacle,
systems,
are,5.46
harder,
lee,6.96
escobedo,
nba,6.16
s,5.02
bizarre,
tanking,
problem,3.28
has,5.52
spewed,
theories,
but,4.66
no,3.34
solutions,
sean,5.5
ingle,
nba,6.16
cancels,
atlanta,
hawks,
theme,5.86
night,7.06
with,5.94
strip,
club,6.44
magic,
city,6.62
after,5.4
backlash,
we,5.96
believe,6.58
in,5.76
the,5.2
plan,6.3
england,
vow,
to,4.84
double,
down,3.7
on,6.1
kick,
heavy,4.94
style,6.52
against,
france,6.66
dolphins,
take,5.78
hit,5.6
on,6.1
tagovailoa,
and,5.4
sign,6.04
willis,
tampa,
s,5.02
star,6.7
wr,
evans,
heads,
to,4.84
sean,5.5
bowen,
i,5.12
m,4.76
still,5.38
a,5.26
bit,
allergic,
to,4.84
horses,
it,5.46
s,5.02
a,5.26
funny,7.66
thing,5.7
to,4.84
have,6.12
as,5.2
a,5.26
jockey,
revolutionary,
ukrainian,
para,5.32
biathlete,
wins,
silver,
using,
chatgpt,
as,5.2
his,5.32
coach,
cheltenham,
festival,7.62
day,6.48
one,5.8
the,5.2
new,7.06
lion,
can,5.92
roar,
in,5.76
champion,
hurdle,
verdict,
on,6.1
the,5.2
start,6.54
of,4.82
s,5.02
new,7.06
era,5.0
five,
talking,
points,
from,5.66
the,5.2
australian,
gp,
zac,
lomax,
exits,
limbo,
via,5.76
defection,
as,5.2
latest,
nrl,
star,6.7
lured,
by,5.28
wallabies,
jersey,
angus,
fontaine,
russia,
flag,
raised,
and,5.4
national,6.06
anthem,
played,
after,5.4
first,6.92
gold,7.26
at,4.9
winter,
paralympics,
sky,
brown,
wins,
second,
skateboarding,
world,6.84
title,6.24
at,4.9
rain,6.2
hit,5.6
event,
in,5.76
brazil,
england,
handed,
tough,
six,
nations,
opener,
with,5.94
friday,
night,7.06
trip,
to,4.84
dublin,
he,5.36
had,4.78
to,4.84
shoulder,
tragedy,
alone,3.48
how,5.64
larry,
bird,
s,5.02
rise,
almost,5.66
ended,
before,5.16
it,5.46
began,
england,
running,
through,
quicksand,
of,4.82
misery,
with,5.94
borthwick,
fighting,
for,5.32
job,
in,5.76
paris,7.14
robert,5.5
kitson,
racing,6.5
s,5.02
leadership,
in,5.76
chaos,
but,4.66
dramatic,
exits,
will,6.18
be,5.66
limited,
to,4.84
track,
at,4.9
cheltenham,
leeds,
return,
from,5.66
wilderness,
with,5.94
rhinos,
resurgence,
an,5.08
asset,
for,5.32
super,7.26
league,
lewis,
hamilton,
confident,
ferrari,
in,5.76
the,5.2
fight,
with,5.94
mercedes,6.38
for,5.32
championship,
collingwood,
s,5.02
cool,7.18
heads,
rise,
to,4.84
big,6.66
afl,
occasion,
and,5.4
make,6.08
point,
to,4.84
naysayers,
jonathan,
horn,
akshay,
bhatia,
denies,
berger,
in,5.76
playoff,
to,4.84
win,7.6
arnold,
palmer,
invitational,
a,5.26
wonderful,
journey,
suryakumar,
yadav,
revels,
in,5.76
india,6.1
s,5.02
world,6.84
cup,
win,7.6
india,6.1
retain,
world,6.84
cup,
with,5.94
run,6.48
final,5.22
win,7.6
over,4.2
new,7.06
zealand,
as,5.2
it,5.46
happened,
india,6.1
retain,
world,6.84
cup,
as,5.2
samson,
and,5.4
bumrah,
inspire,
rout,
of,4.82
new,7.06
zealand,
tears,
and,5.4
drama,3.98
amid,
snowboard,
cross,
chaos,
at,4.9
winter,
paralympics,
team,6.4
gb,5.02
mixed,
doubles,
curlers,
must,5.26
beat,
italy,
after,5.4
psychology,
of,4.82
china,5.68
defeat,
scotland,
showcase,
potential,
to,4.84
chase,
six,
nations,
title,6.24
and,5.4
end,4.08
pain,
against,
ireland,
rfu,
backs,
steve,
borthwick,
despite,
england,
s,5.02
historic,
six,
nations,
loss,
in,5.76
italy,
we,5.96
are,5.46
going,6.02
to,4.84
have,6.12
a,5.26
big,6.66
accident,
lando,
norris,
warns,
new,7.06
rules,
pose,
danger,
ruthless,
australia,6.76
defeat,
india,6.1
in,5.76
alyssa,
healy,
s,5.02
last,4.54
test,5.5
sabrina,
wittmann,
i,5.12
ll,5.22
always,6.9
be,5.66
the,5.2
first,6.92
woman,7.48
coaching,
a,5.26
men,6.34
s,5.02
team,6.4
but,4.66
i,5.12
want,6.34
to,4.84
be,5.66
seen,
as,5.2
a,5.26
coach,
i,5.12
m,4.76
just,5.54
very,6.3
sorry,4.02
hometown,
heartbreak,
as,5.2
oscar,5.96
piastri,
crashes,
out,4.12
before,5.16
australian,
grand,6.16
prix,
begins,
george,5.5
russell,
wins,
australian,
grand,6.16
prix,
ahead,
of,4.82
kimi,
antonelli,
as,5.2
it,5.46
happened,
german,
grandmaster,
s,5.02
vast,
collection,
of,4.82
chess,
memorabilia,
to,4.84
be,5.66
sold,
in,5.76
london,7.04
george,5.5
russell,
wins,
australian,
gp,
after,5.4
thrilling,
fight,
with,5.94
ferrari,
in,5.76
season,
opener,
steve,
borthwick,
under,4.6
increasing,
scrutiny,
after,5.4
england,
lose,4.06
to,4.84
italy,
for,5.32
first,6.92
time,5.76
if,5.2
there,5.48
s,5.02
no,3.34
pressure,
there,5.48
s,5.02
no,3.34
fun,7.76
india,6.1
look,6.46
to,4.84
slay,
ghosts,
of,4.82
in,5.76
world,6.84
cup,
final,5.22
make,6.08
no,3.34
mistake,
this,5.38
is,5.34
now,6.14
a,5.26
full,5.84
blown,
crisis,2.5
for,5.32
england,
and,5.4
borthwick,
gerard,
meagher,
gregor,
townsend,
keeps,
his,5.32
cool,7.18
after,5.4
scotland,
topple,
france,6.66
to,4.84
stay,5.78
in,5.76
title,6.24
hunt,
rory,
mcilroy,
to,4.84
defend,
players,
title,6.24
despite,
withdrawal,
from,5.66
invitational,
italy,
england,
six,
nations,
as,5.2
it,5.46
happened,
italy,
claim,
historic,
first,6.92
victory,
over,4.2
england,
as,5.2
borthwick,
s,5.02
men,6.34
are,5.46
rattled,
in,5.76
rome,
scotland,
france,6.66
six,
nations,
rugby,
union,7.14
as,5.2
it,5.46
happened,
scotland,
stun,
france,6.66
in,5.76
thriller,
to,4.84
throw,
six,
nations,
title,6.24
race,
wide,
open,6.88
us,5.94
win,7.6
first,6.92
medals,
of,4.82
winter,
paralympics,
as,5.2
oksana,
masters,6.7
leads,
american,5.68
one,5.8
two,5.72
australia,6.76
v,4.92
india,6.1
one,5.8
off,4.0
women,
s,5.02
cricket,
test,5.5
day,6.48
two,5.72
as,5.2
it,5.46
happened,
winter,
paralympics,
russia,
flies,
flag,
with,5.94
first,6.92
medals,
since,5.3
as,5.2
ukraine,
stage,
gold,7.26
rush,
england,
coach,
brendon,
mccullum,
denies,
he,5.36
is,5.34
running,
a,5.26
casual,
operation,
norris,
verstappen,
and,5.4
hamilton,
slam,
worst,
cars,
after,5.4
torrid,
australian,
gp,
qualifying,
minella,
study,
can,5.92
ride,
the,5.2
crest,
of,4.82
a,5.26
wave,
for,5.32
adam,
nicol,
at,4.9
cheltenham,
england,
s,5.02
aerial,
prowess,
is,5.34
no,3.34
longer,
a,5.26
secret,
and,5.4
borthwick,
s,5.02
men,6.34
have,6.12
been,5.44
overtaken,
ugo,
monye,
russell,
on,6.1
australian,
gp,
pole,
in,5.76
mercedes,6.38
lockout,
as,5.2
verstappen,
crashes,
out,4.12
formula,5.72
one,5.8
australian,
grand,6.16
prix,
qualifying,
as,5.2
it,5.46
happened,
i,5.12
m,4.76
available,
for,5.32
discussion,
kevin,5.34
pietersen,
puts,
himself,
up,6.08
for,5.32
england,
role,
ireland,
wales,
six,
nations,
rugby,
union,7.14
as,5.2
it,5.46
happened,
osborne,
and,5.4
wobbly,
crowley,
finish,
off,4.0
wales,
to,4.84
keep,6.04
ireland,
in,5.76
six,
nations,
hunt,
russian,
flag,
met,5.66
largely,
by,5.28
silence,
at,4.9
opening,
ceremony,
of,4.82
winter,
paralympics,
i,5.12
believe,6.58
i,5.12
can,5.92
do,5.66
it,5.46
george,5.5
russell,
favourite,
for,5.32
title,6.24
as,5.2
new,7.06
era,5.0
begins,
idiot,
to,4.84
inspiration,7.9
harry,6.08
brook,
s,5.02
england,
leave,4.4
world,6.84
cup,
with,5.94
reasons,
for,5.32
optimism,
tiger,
woods,
wavering,
over,4.2
captaincy,
undermines,
us,5.94
ryder,
cup,
ambitions,
world,6.84
cup,
final,5.22
six,
nations,
fa,5.46
cup,
and,5.4
returns,
follow,6.14
with,5.94
us,5.94
nine,
speeding,
tickets,
and,5.4
counting,
myles,
garrett,
and,5.4
the,5.2
illusion,
of,4.82
invincibility,
lee,6.96
escobedo,
stakes,
sky,
high,6.58
for,5.32
england,
as,5.2
italy,
eye,
six,
nations,
upset,
for,5.32
the,5.2
ages,
robert,5.5
kitson,
naoya,
inoue,
to,4.84
face,6.88
junto,6.06
nakatani,
in,5.76
historic,
tokyo,
dome,
megafight,
scotland,
sense,
chance,6.4
against,
france,6.66
to,4.84
end,4.08
cycle,
of,4.82
brilliance,
and,5.4
despair,
michael,5.8
aylwin,
world,6.84
cup,
exit,
a,5.26
tough,
pill,
to,4.84
swallow,
for,5.32
england,
s,5.02
jacob,
bethell,
after,5.4
maiden,
ton,
brendon,
mccullum,
poised,
to,4.84
stay,5.78
on,6.1
as,5.2
ecb,
backs,
england,
head,5.9
coach,
england,
rugby,
stars,
ellie,
kildunne,
and,5.4
sadia,
kabeya,
stranded,
in,5.76
dubai,
sometimes,5.58
you,6.58
need,5.44
to,4.84
blow,
the,5.2
lid,
off,4.0
england,
confident,
of,4.82
rome,
response,
australia,6.76
edge,
day,6.48
one,5.8
of,4.82
test,5.5
against,
india,6.1
after,5.4
dismissing,
tourists,
for,5.32
as,5.2
it,5.46
happened,
emma,
aicher,
pips,
breezy,
johnson,
at,4.9
val,
di,5.66
fassa,
to,4.84
close,5.0
on,6.1
vonn,
and,5.4
shiffrin,
chess,
gukesh,
joint,
last,4.54
in,5.76
prague,
as,5.2
world,6.84
champion,
struggles,
for,5.32
form,
sports,
quiz,
of,4.82
the,5.2
week,6.16
paralympics,
six,
nations,
and,5.4
premier,
league,
winter,
paralympic,
games,7.34
everything,6.52
you,6.58
need,5.44
to,4.84
know,6.26
about,5.38
milano,
cortina,
aston,
martin,5.72
fear,
they,5.62
may,5.72
not,3.88
be,5.66
able,
to,4.84
race,
in,5.76
australian,
gp,
