token,Rank,Word in English,score,Standard Deviation of Ratings
crisis,9907,crisis,2.5,1.7053
live,1062,live,7.1,1.1995
hit,6299,hit,5.6,1.5386
in,5638,in,5.76,1.1704
of,8632,of,4.82,1.207
as,7720,ace,5.2,0.9476
to,8622,to,4.84,0.9971
us,4778,us,5.94,1.634
or,7628,or,5.24,1.0214
was,8600,was,4.84,1.1669
in,5638,in,5.76,1.1704
that,7331,That,5.34,0.8478
his,7367,his,5.32,0.9134
s,8214,s,5.02,0.5147
bus,6861,bus,5.46,1.1643
fire,9050,fire,4.46,1.5677
that,7331,That,5.34,0.8478
say,5334,say,5.82,1.0631
no,9611,not,3.34,1.4086
of,8632,of,4.82,1.207
water,885,water,7.2,1.4846
why,9046,why,4.48,1.1822
are,6907,are,5.46,0.9941
the,7738,the,5.2,0.4518
s,8214,s,5.02,0.5147
french,3134,french,6.32,1.5964
in,5638,in,5.76,1.1704
in,5638,in,5.76,1.1704
say,5334,say,5.82,1.0631
s,8214,s,5.02,0.5147
that,7331,That,5.34,0.8478
to,8622,to,4.84,0.9971
are,6907,are,5.46,0.9941
a,7551,to,5.26,0.8762
s,8214,s,5.02,0.5147
fc,8361,fc,4.96,1.1945
sale,4735,out,5.96,1.1945
may,5776,may,5.72,1.4574
be,6108,be,5.66,1.3188
under,8925,under,4.6,1.2617
as,7720,ace,5.2,0.9476
of,8632,of,4.82,1.207
how,6150,how,5.64,1.2249
has,6624,have,5.52,1.2656
the,7738,the,5.2,0.4518
of,8632,of,4.82,1.207
to,8622,to,4.84,0.9971
and,7113,and,5.4,0.9897
gas,7630,gas,5.24,1.3486
a,7551,to,5.26,0.8762
visual,2040,visual,6.64,1.1739
antonio,5858,Anthony,5.7,1.4178
the,7738,the,5.2,0.4518
fan,2034,fan,6.64,1.495
about,7168,acerca,5.38,0.8303
to,8622,to,4.84,0.9971
chile,4946,chili,5.9,1.6444
to,8622,to,4.84,0.9971
the,7738,the,5.2,0.4518
right,2886,right,6.38,1.1045
from,6107,from,5.66,1.1886
to,8622,to,4.84,0.9971
s,8214,s,5.02,0.5147
ai,7875,ai,5.16,1.4194
why,9046,why,4.48,1.1822
s,8214,s,5.02,0.5147
vital,1478,vital,6.88,1.2395
is,7326,is,5.34,0.6581
still,7176,still,5.38,1.2271
by,7502,by,5.28,0.8581
us,4778,us,5.94,1.634
israel,7820,Israel,5.18,1.6499
s,8214,s,5.02,0.5147
regional,4713,regional,5.96,1.3696
back,8595,back,4.84,1.1843
from,6107,from,5.66,1.1886
all,3050,all,6.34,1.5066
out,9270,out,4.12,1.409
war,9970,war,2.04,1.6777
with,4746,with,5.94,1.0382
us,4778,us,5.94,1.634
and,7113,and,5.4,0.9897
israel,7820,Israel,5.18,1.6499
of,8632,of,4.82,1.207
us,4778,us,5.94,1.634
from,6107,from,5.66,1.1886
south,4879,south,5.92,1.2591
to,8622,to,4.84,0.9971
us,4778,us,5.94,1.634
s,8214,s,5.02,0.5147
mine,4023,mine,6.1,1.233
in,5638,in,5.76,1.1704
of,8632,of,4.82,1.207
