token,Happiness Score
middle,
east,
crisis,2.5
live,7.1
three,
ships,
hit,5.6
in,5.76
strait,
of,4.82
hormuz,
as,5.2
iran,
calls,
vessels,
belonging,
to,4.84
us,5.94
or,5.24
allies,
legitimate,
targets,
mojtaba,
khamenei,
was,4.84
hurt,
in,5.76
strike,
that,5.34
killed,
his,5.32
father,
iran,
s,5.02
cyprus,
ambassador,
confirms,
police,
investigating,
swiss,
bus,5.46
fire,4.46
that,5.34
killed,
six,
say,5.82
no,3.34
evidence,
of,4.82
terrorist,
motive,
severe,
water,7.2
stress,
why,4.48
desalination,
plants,
are,5.46
the,5.2
gulf,
s,5.02
greatest,
weakness,
french,6.32
aid,
worker,
among,
three,
killed,
in,5.76
drone,
attack,
in,5.76
eastern,
drc,
rebels,
say,5.82
peak,
interest,
toronto,
s,5.02
snow,
mountains,
that,5.34
refuse,
to,4.84
melt,
are,5.46
a,5.26
toxic,
hazard,
roman,
abramovich,
s,5.02
chelsea,
fc,4.96
sale,5.96
cash,
may,5.72
be,5.66
under,4.6
investigation,
as,5.2
proceeds,
of,4.82
crime,
how,5.64
iran,
has,5.52
used,
the,5.2
strait,
of,4.82
hormuz,
to,4.84
throttle,
oil,
and,5.4
gas,5.24
a,5.26
visual,6.64
guide,
antonio,5.7
kast,
the,5.2
pinochet,
fan,6.64
about,5.38
to,4.84
swerve,
chile,5.9
to,4.84
the,5.2
far,
right,6.38
wednesday,
briefing,
from,5.66
missing,
billions,
to,4.84
nonexistent,
datacentres,
inside,
britain,
s,5.02
ai,5.16
drive,
why,4.48
iran,
s,5.02
vital,6.88
kharg,
island,
oil,
hub,
is,5.34
still,5.38
untouched,
by,5.28
us,5.94
israel,5.18
bombers,
iran,
s,5.02
regional,5.96
proxies,
hold,
back,4.84
from,5.66
all,6.34
out,4.12
war,2.04
with,5.94
us,5.94
and,5.4
israel,5.18
hasty,
redeployment,
of,4.82
us,5.94
missiles,
from,5.66
south,5.92
korea,
to,4.84
middle,
east,
leaves,
seoul,
rattled,
us,5.94
attacks,
iran,
s,5.02
mine,6.1
laying,
boats,
in,5.76
strait,
of,4.82
hormuz,
as,5.2
tensions,
rise,
over,4.2
oil,
if,5.2
i,5.12
go,6.34
home,7.5
we,5.96
don,6.22
t,4.9
have,6.12
enough,
money,7.1
the,5.2
low,
paid,
filipino,
workers,
caught,
up,6.08
in,5.76
the,5.2
war,2.04
on,6.1
iran,
five,
killed,
in,5.76
strikes,
on,6.1
lebanon,
health,7.38
ministry,
reports,
as,5.2
it,5.46
happened,
my,5.98
lovely,
distraction,
live,7.1
stream,
of,4.82
world,6.84
s,5.02
fattest,
parrot,
and,5.4
her,5.86
chicks,
captivates,
new,7.06
zealand,
ukraine,
war,2.04
briefing,
zelenskyy,
accuses,
hungary,
of,4.82
banditry,
over,4.2
seized,
gold,7.26
and,5.4
cash,
antonio,5.7
tejero,
obituary,
iran,
is,5.34
becoming,
more,6.34
defiant,
in,5.76
face,6.88
of,4.82
us,5.94
israeli,
onslaught,
us,5.94
weighs,
sending,
forces,
into,5.32
iran,
to,4.84
secure,
nuclear,
stockpile,
reports,
say,5.82
iranians,
living,
in,5.76
uk,6.12
tell,5.66
starmer,
that,5.34
war,2.04
will,6.18
only,5.1
strengthen,
tehran,
regime,
tehran,
endures,
worst,
night,7.06
of,4.82
strikes,
amid,
mixed,
us,5.94
messages,
about,5.38
more,6.34
