"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"0","amor","love","8.68","0.7126"
"1","felicidad","happiness","8.6","0.833"
"2","felicidades","congratulations","8.48","0.7351"
"3","paz","peace","8.42","0.8827"
"4","jajajajajajajajaja","jajajajajajajajaja","8.42","1.0319"
"5","amar","love","8.38","0.9452"
"6","sonreir","smile","8.38","0.9452"
"7","beso","kiss","8.36","0.7217"
"8","éxito","success","8.34","0.8715"
"9","felíz","happy","8.34","0.9607"
"10","jajajajajajajajajaja","jajajajajajajajajaj","8.34","1.1359"
"11","¡feliz","Happy","8.34","1.1359"
"12","alegria","joy","8.34","1.0022"
"13","enamoré","fell","8.32","0.8676"
"14","jajajajajajaja","jajajajajajaja","8.32","1.0962"
"15","sonrisas","smiles","8.28","0.8581"
"16","sonrisa","smile","8.28","0.9697"
"17","jajajajajajajaj","jajajajajajajaj","8.28","1.0698"
"18","jajajajajajajaja","jajajajajajajaja","8.28","1.1787"
"19","enamorarse","fall in love","8.28","1.0309"
"20","jajajajajajajajajajaja","jajajajajajajajajajaja","8.26","1.3822"
"21","jajajajaja","hahaha","8.26","1.192"
"22","love","love","8.26","0.9858"
"23","friends","friends","8.26","0.9858"
"24","sonríe","smiles","8.26","0.8992"
"25","maravillosa","wonderful","8.24","0.8704"
"26","besos","kisses","8.24","1.0797"
"27","vacaciones","vacation","8.24","0.9806"
"28","enamorarme","fall in love","8.24","0.9806"
"29","Éxito","Success","8.24","1.0214"
"30","enamorados","love","8.22","0.9322"
"31","festejar","celebrate","8.22","0.864"
"32","felices","happy","8.22","1.0359"
"33","méxico","Mexico","8.22","1.2002"
"34","happy","happy","8.22","1.016"
"35","alegría","joy","8.22","1.0746"
"36","besotes","besotes","8.22","0.7365"
"37","vida","life","8.22","1.0746"
"38","excelente","excellent","8.2","0.9689"
"39","happiness","happiness","8.2","1.1249"
"40","hermosa","beautiful","8.2","0.9258"
"41","jajajjajaja","jajajjajaja","8.2","1.3997"
"42","besote","besote","8.2","1.2289"
"43","musica","music","8.2","1.088"
"44","mamá","mom","8.2","1.069"
"45","abrazote","HUG","8.18","0.9409"
"46","enamorada","love","8.18","1.207"
"47","divertido","funny","8.18","0.919"
"48","enamorado","in love","8.18","1.0631"
"49","felicitaciones","congratulations","8.18","0.919"
"50","placer","pleasure","8.16","1.0759"
"51","buenisimo","buenisimo","8.16","0.7918"
"52","feliiiz","feliiiz","8.16","1.5566"
"53","vivir","live","8.16","1.2349"
"54","amamos","love","8.16","1.0759"
"55","congratulations","congratulations","8.16","1.0568"
"56","música","music","8.16","0.9553"
"57","amarte","love","8.16","1.1669"
"58","libre","free","8.14","1.125"
"59","triunfo","triumph","8.14","1.1608"
"60","risa","laughter","8.14","0.9691"
"61","amo","owner","8.14","1.1954"
"62","jajajajjaja","jajajajjaja","8.14","1.1068"
"63","abrazos","Hugs","8.14","1.0692"
"64","risas","laughter","8.14","0.9037"
"65","¡¡feliz","Happy","8.14","1.552"
"66","madre","mother","8.14","1.325"
"67","sonreír","smile","8.12","0.9613"
"68","feliiz","feliiz","8.12","1.3346"
"69","excelentes","excellent","8.12","1.0622"
"70","navidad","Christmas","8.12","1.272"
"71","felizzzz","felizzzz","8.12","1.2395"
"72","playa","beach","8.12","1.023"
"73","alegre","cheerful","8.1","1.0738"
"74","prosperidad","prosperity","8.1","0.9313"
"75","amooor","amooor","8.1","1.6194"
"76","ajajajaja","ajajajaja","8.1","1.4321"
"77","aman","love","8.08","1.085"
"78","bella","beauty","8.08","0.8999"
"79","hermosas","beautiful","8.08","0.9655"
"80","jajajajajaj","jajajajajaj","8.08","1.2428"
"81","#feliz","# Happy","8.08","1.3377"
"82","feliz","happy","8.08","1.1753"
"83","alegrías","joys","8.08","1.2752"
"84","maravilloso","wonderful","8.06","1.0956"
"85","inteligente","intelligent","8.06","1.0184"
"86","confianza","confidence","8.06","1.0577"
"87","contento","happy","8.04","1.049"
"88","ríe","laughs","8.04","1.1599"
"89","sabiduría","wisdom","8.04","1.1421"
"90","amigos","people","8.04","1.1599"
"91","abrazar","embrace","8.04","0.832"
"92","preciosa","beautiful","8.04","1.1773"
